xp,yp,zp,xv,yv,zv,xd,yd,zd,spd,t
-3422.5,-577.5,7807.5,150,-150,-50,1,0,0,217.94494717703367,3.85
-3415,-585,7805,150,-150,-50,1,0,0,217.94494717703367,3.9000000000000004
-3407.5,-592.5,7802.5,150,-150,-50,1,0,0,217.94494717703367,3.95
-3400,-600,7800,150,-150,-50,1,0,0,217.94494717703367,4
-3392.5,-607.5,7797.5,150,-150,-50,1,0,0,217.94494717703367,4.05
-3385,-615,7795,150,-150,-50,1,0,0,217.94494717703367,4.1000000000000005
-3377.5,-622.5,7792.5,150,-150,-50,1,0,0,217.94494717703367,4.15
-3370,-630,7790,150,-150,-50,1,0,0,217.94494717703367,4.2
-3362.5,-637.5,7787.5,150,-150,-50,1,0,0,217.94494717703367,4.25
-3355,-645,7785,150,-150,-50,1,0,0,217.94494717703367,4.3
-3347.5,-652.5,7782.5,150,-150,-50,1,0,0,217.94494717703367,4.3500000000000005
-3340,-660,7780,150,-150,-50,1,0,0,217.94494717703367,4.4
-3332.5,-667.5,7777.5,150,-150,-50,1,0,0,217.94494717703367,4.45
-3325,-675,7775,150,-150,-50,1,0,0,217.94494717703367,4.5
-3317.5,-682.5,7772.5,150,-150,-50,1,0,0,217.94494717703367,4.55
-3310,-690,7770,150,-150,-50,1,0,0,217.94494717703367,4.6000000000000005
-3302.5,-697.5,7767.5,150,-150,-50,1,0,0,217.94494717703367,4.65
-3295,-705,7765,150,-150,-50,1,0,0,217.94494717703367,4.7
-3287.5,-712.5,7762.5,150,-150,-50,1,0,0,217.94494717703367,4.75
-3280,-720,7760,150,-150,-50,1,0,0,217.94494717703367,4.800000000000001
-3272.5,-727.5,7757.5,150,-150,-50,1,0,0,217.94494717703367,4.8500000000000005
-3265,-735,7755,150,-150,-50,1,0,0,217.94494717703367,4.9
-3257.5,-742.5,7752.5,150,-150,-50,1,0,0,217.94494717703367,4.95
-3250,-750,7750,150,-150,-50,1,0,0,217.94494717703367,5
-3242.5,-757.5,7747.5,150,-150,-50,1,0,0,217.94494717703367,5.050000000000001
-3235,-765,7745,150,-150,-50,1,0,0,217.94494717703367,5.1000000000000005
-3227.5,-772.5,7742.5,150,-150,-50,1,0,0,217.94494717703367,5.15
-3220,-780,7740,150,-150,-50,1,0,0,217.94494717703367,5.2
-3212.5,-787.5,7737.5,150,-150,-50,1,0,0,217.94494717703367,5.25
-3205,-795,7735,150,-150,-50,1,0,0,217.94494717703367,5.300000000000001
-3197.5,-802.5,7732.5,150,-150,-50,1,0,0,217.94494717703367,5.3500000000000005
-3190,-810,7730,150,-150,-50,1,0,0,217.94494717703367,5.4
-3182.5,-817.5,7727.5,150,-150,-50,1,0,0,217.94494717703367,5.45
-3175,-825,7725,150,-150,-50,1,0,0,217.94494717703367,5.5
-3167.5,-832.5,7722.5,150,-150,-50,1,0,0,217.94494717703367,5.550000000000001
-3160,-840,7720,150,-150,-50,1,0,0,217.94494717703367,5.6000000000000005
-3152.5,-847.5,7717.5,150,-150,-50,1,0,0,217.94494717703367,5.65
-3145,-855,7715,150,-150,-50,1,0,0,217.94494717703367,5.7
-3137.5,-862.5,7712.5,150,-150,-50,1,0,0,217.94494717703367,5.75
-3130,-870,7710,150,-150,-50,1,0,0,217.94494717703367,5.800000000000001
-3122.5,-877.5,7707.5,150,-150,-50,1,0,0,217.94494717703367,5.8500000000000005
-3115,-885,7705,150,-150,-50,1,0,0,217.94494717703367,5.9
-3107.5,-892.5,7702.5,150,-150,-50,1,0,0,217.94494717703367,5.95
