xp,yp,zp,xv,yv,zv,xd,yd,zd,spd,t
0,0,5000,0,0,0,0.0000000000000002220446049250313,0,1,0,0
0.000000000000000008881784197001254,0,5000.078745223752,0.00000000000000017763568394002506,0,1.5749044750430292,0.0000000000000002220446049250313,0,1,1.5749044750430292,0.05
-0.00000011312534947016673,0.0000005345056028858414,5000.236235375299,-0.0000022625069895809704,0.000010690112057716827,3.1498030309422838,0.0000001246734341320277,-0.0000005890691110815937,0.9999999999998189,3.149803030961237,0.1
-0.0000006591562721336431,0.00000315219729992007,5000.472469565763,-0.000010920618453269527,0.00005235383394068457,4.724683809289408,0.0000007407593801689316,-0.000003541653844872063,0.9999999999934541,4.724683809592093,0.15000000000000002
-0.0000021158953879929503,0.000010238830167468503,5000.787446311859,-0.00002913478231718614,0.00014173265735096865,6.299534921907693,0.0000024458562758455926,-0.000011827662742814533,0.9999999999270623,6.299534923569481,0.2
-0.00000504544092816417,0.0000247109747220243,5001.181163534473,-0.00005859091080342439,0.00028944289109111593,7.874344452284512,0.000006056730366021945,-0.00002962092797709194,0.9999999995429587,7.874344457822121,0.25
-0.000009995944248482049,0.00004957626002975527,5001.653618557397,-0.00009901006640635757,0.0004973057061546194,9.44910045848096,0.000012596946558196542,-0.00006230496783166624,0.9999999979797044,9.449100472086274,0.30000000000000004
-0.000017379289775272256,0.0000873547666042096,5002.204808106282,-0.00014766691053580416,0.0007555701314890867,11.023790977702642,0.000023283564007603452,-0.00011647457156415347,0.9999999929457752,11.023791004585034,0.35000000000000003
-0.000027325048096260576,0.0001393553794594201,5002.834728307896,-0.00019891516641976637,0.0010400122571042098,12.598404032269064,0.00003951258179435424,-0.00019993133337378076,0.9999999792331088,12.598404076766474,0.4
-0.00003951102847411292,0.0002048003137215296,5003.543374689701,-0.00024371960755704692,0.00130889868524219,14.172927636095054,0.00006284277271484395,-0.00032167088177336106,0.9999999462893134,14.172927698630298,0.45
-0.00005297080547951083,0.0002797907345370505,5004.330742179699,-0.0002691955401079582,0.001499808416310418,15.747349799970848,0.00009497750706166652,-0.0004918591933429972,0.9999998745268958,15.747349873694095,0.5
-0.00006587872545579465,0.0003561064832620251,5005.196825106343,-0.0002581583995256764,0.0015263149744994915,17.32165853287489,0.00013774414509493127,-0.0007217950567736154,0.9999997300191866,17.32165860204503,0.55
-0.00007531312158318037,0.00041983347195083235,5006.141617198105,-0.00018868792254771448,0.0012745397737761455,18.89584183526014,0.0001930705688811818,-0.0010238554780941972,0.9999994572217101,18.895841879186595,0.6000000000000001
-0.000076998790273759,0.00044981340128982106,5007.165111582041,-0.000033713373811572456,0.0005995985867797743,20.469887678720642,0.0002629584337284774,-0.0014114206076728032,0.999998969371834,20.469887687530047,0.65
-0.00006503021437764822,0.0004159121795212259,5008.267300780276,0.00023937151792221558,-0.0006780244353719032,22.04378396469248,0.0003494527492130528,-0.0018987746435682018,0.9999981362670779,22.0437839764195,0.7000000000000001
-0.00003157756656771759,0.00027710585825355583,5009.448176702922,0.0006690529561986125,-0.002776126425353402,23.617518452928273,0.00045460745267755787,-0.0025009791465191613,0.9999967692124675,23.61751862556516,0.75
0.00003342180656628281,-0.000020613860818017617,5010.707730635348,0.0012999874626800079,-0.005954394381431468,25.19107864850503,0.0005804467169255867,-0.0032337153143225236,0.9999946030688743,25.191079385765626,0.8
0.0001425829316462668,-0.0005465083798059904,5012.045953217059,0.0021832225015996796,-0.010517890379759455,26.76445163423445,0.0007289218414625598,-0.004113092034712617,0.9999912755353739,26.764453789938507,0.8500000000000001
0.00031139939378626913,-0.001387523996236571,5013.462834408747,0.0033763292428000465,-0.016820312328611614,28.33762383375816,0.0009018637155463471,-0.005155416994607611,0.9999863040649365,28.337629026897865,0.9
0.0005585707524991257,-0.00265086947119526,5014.958363443227,0.004943427174257131,-0.025266909499173783,29.910580689612527,0.0011009310134434402,-0.00637692879847826,0.999979061145784,29.910591770207585,0.9500000000000001
0.0009063246711150442,-0.004466715074851611,5016.532528755252,0.006955078372318368,-0.03631691207312701,31.483306240493288,0.0013275544887890733,-0.0077934889671175105,0.9999687490760899,31.48332795502885,1
0.001380726059770856,-0.006990980794096173,5018.185317884415,0.009488027773116237,-0.05048531438489125,33.055782583254796,0.0015828779757255385,-0.009420233874526857,0.9999543758047487,33.0558224974217,1.05
0.002011964306726828,-0.010408172462537118,5019.9167173448295,0.012624764939119439,-0.06834383336881888,34.627989208300875,0.001867696977879807,-0.011271188153559708,0.9999347338829705,34.62805895331777,1.1
0.0028346084458399285,-0.014934214869700469,5021.726712454951,0.016452882782262004,-0.09052084814326702,36.1999022024285,0.002182396028544975,-0.013358842870173481,0.9999083850357221,36.20001911859561,1.1500000000000001
0.003887818931470984,-0.02081922062521255,5023.615287121015,0.02106420971262111,-0.11770011511024163,37.771493321292795,0.002526886330395328,-0.015693703829026136,0.9998736532710527,37.77168257754073,1.2000000000000002
0.0052155036298258935,-0.028350122979970305,5025.582423568254,0.026553693967098193,-0.15061804709515503,39.342728944776574,0.0029005455214616838,-0.018283817710518048,0.9998286297389207,39.343026214526695,1.25
0.006866404763795987,-0.0378530903192537,5027.628102015393,0.03301802267940186,-0.19005934678566794,40.913568942769615,0.0033021617532286163,-0.021134286310923994,0.9997711926585425,40.914023712901724,1.3
0.008894102954579807,-0.04969563012466592,5029.752300290193,0.0405539638156764,-0.23685079610824442,42.48396549598585,0.0037298845900773925,-0.02424678189695224,0.9996990454774811,42.4846450754589,1.35
